n01496331,coarse
n01498041,coarse
n12057211,coarse
n07716358,coarse
n04040759,coarse
n04019541,coarse
n03532672,coarse
n04371774,coarse
n02966193,coarse
n03425413,coarse
n04067472,coarse
n02974003,coarse
n03874293,coarse
n03944341,coarse
n03992509,coarse
n03602883,coarse
n04372370,coarse
n07716906,coarse
n07717556,coarse
n04599235,coarse
n07714990,coarse
n07715103,coarse
n07714571,coarse
n09421951,coarse
n12267677,coarse
n12620546,coarse
n13133613,coarse
n07753113,coarse
n07753275,coarse
n07753592,coarse
n07754684,coarse
n07760859,coarse
n07768694,coarse
n07742313,coarse
n07745940,coarse
n07747607,coarse
n07749582,coarse
n12768682,coarse
n11879895,coarse
n12144580,coarse
n02514041,coarse
n02536864,coarse
n02526121,coarse
n01440764,coarse
n01443537,coarse
n02643566,coarse
n02655020,coarse
n02606052,coarse
n02607072,coarse
n02640242,coarse
n02641379,coarse
n01494475,coarse
n01484850,coarse
n01491361,coarse
n04591157,medium
n03623198,medium
n02807133,medium
n03787032,medium
n04209133,medium
n02817516,medium
n02869837,medium
n03124170,medium
n04259630,medium
n03127747,medium
n03379051,medium
n02977058,medium
n03496892,medium
n04428191,medium
n02672831,medium
n03494278,medium
n04613696,medium
n02443114,medium
n03075370,medium
n03874599,medium
n02398521,medium
n02437616,medium
n02437312,medium
n02395406,medium
n02396427,medium
n02397096,medium
n02410509,medium
n02403003,medium
n02408429,medium
n02412080,medium
n02415577,medium
n02417914,medium
n02422106,medium
n02422699,medium
n02423022,medium
n04273569,medium
n03095699,medium
n04146614,medium
n04482393,medium
n02167151,medium
n04465501,medium
n02256656,medium
n02814533,medium
n02259212,medium
n02268443,medium
n01930112,medium
n01943899,medium
n01518878,medium
n04493381,medium
n01833805,medium
n04562935,medium
n01614925,medium
n03014705,medium
n02006656,medium
n02007558,medium
n02012849,medium
n02013706,medium
n02018795,medium
n02018207,medium
n02002556,medium
n02002724,medium
n02009229,medium
n02011460,medium
n02009912,medium
n02037110,medium
n02025239,medium
n02033041,medium
n02027492,medium
n02028035,medium
n03134739,medium
n01532829,medium
n04254680,medium
n04409515,medium
n01806567,medium
n01807496,medium
n01806143,medium
n02992529,medium
n01632458,medium
n01632777,medium
n01641577,medium
n01737021,medium
n01744401,medium
n01675722,medium
n01685808,medium
n01689811,medium
n01692333,medium
n01693334,medium
n01694178,medium
n01695060,medium
n03133878,medium
n01677366,medium
n01682714,medium
n01687978,medium
n01667114,medium
n01667778,medium
n01669191,medium
n01664065,medium
n01665541,medium
n01688243,medium
n02074367,medium
n02804414,medium
n02088094,fine
n02091467,fine
n02091635,fine
n02090622,fine
n02090721,fine
n02093647,fine
n02093754,fine
n02093859,fine
n02093991,fine
n02094114,fine
n02094258,fine
n02094433,fine
n02096051,fine
n02096177,fine
n02096294,fine
n02096437,fine
n02096585,fine
n02097298,fine
n02097474,fine
n02097658,fine
n02098105,fine
n02098286,fine
n02098413,fine
n02095314,fine
n02093256,fine
n02093428,fine
n02095570,fine
n02095889,fine
n02097047,fine
n02097130,fine
n02097209,fine
n02099601,fine
n02100236,fine
n02100583,fine
n02100735,fine
n02101556,fine
n02102973,fine
n02102040,fine
n02108089,fine
n02108422,fine
n02109047,fine
n02109961,fine
n02108551,fine
n02108915,fine
n02104029,fine
n02107142,fine
n02107312,fine
n02110627,fine
n02105412,fine
n02106166,fine
n02106662,fine
n02108000,fine
n02113712,fine
n02115913,fine
n02119022,fine
n02120079,fine
n02123394,fine
n02123597,fine
n02124075,fine
n02127052,fine
n02486261,fine
n02488291,fine
n02489166,fine
n02481823,fine
n02951358,fine
n04612504,fine
n01756291,fine
n02110341,fine
n02110806,fine
n02085620,fine
n02085782,fine
n02087046,fine
n02086910,fine
n02086646,fine
